10.00

#########################################################################################################################################################################
#																																					
#					PUNCH_KICK				PISTOL_SMALL			SHOTGUN				ROCKET						LASER						CLOWN					
#						MELEE_WOOD				PISTOL_LARGE			RIFLE_ASSAULT		GRENADE						STUNGUN						ALIEN
#							MELEE_METAL				PISTOL_SILENCED			RIFLE_SNIPER		MOLOTOV						HEAVY_MG				
#								MELEE_SHARP				RUBBER										FIRE						VEHICLE_MG		    
#									MELEE_GENERIC			SMG											EXPLOSION							    
#																																					
#########################################################################################################################################################################

BLOODFX_TABLE_ALIVE_START

BUTTOCKS			080   080 080 085 080     505 505 505 505	505		508 505 505 		505 105 0   0     505		0	301 502	569 			900	950
THIGH_LEFT			080   070 080 075 070     505 505 505 505	504		508 504 504		    504 104 0   104   508 	    0	301 502	504 			900	950
SHIN_LEFT			080   070 080 075 070     505 505 505 108	505		508 505 502 		505 505 0   505   508 	    0	301 502	569 			900	950
FOOT_LEFT			080   060 080 065 060     505 505 505 108	505		508 505 505 		505 505 0   103   508 	    0	301 502	569 			900	950
THIGH_RIGHT			080   070 080 075 070     505 505 505 504	504		508 504 504 		504 504 0   104   508 	    0	301 502	504 			900	950
SHIN_RIGHT			080   070 080 075 070     505 505 505 504	505		508 505 502 		505 505 0   103   508 	    0	301 502	569 			900	950
FOOT_RIGHT			080   060 080 065 060     505 505 505 505	505		508 505 505 		505 505 0   505   508 	    0	301 502	569 			900	950
SPINE0				080   080 080 085 080     505 103 588 503	502		508 503 501 		505 505 0   505   508 	    0	301 502	569 			900	950
SPINE1				080   080 080 085 080     505 103 588 505	502		508 503 501 		505 505 0   505   508 	    0	301 502	569 			900	950
SPINE2				080   080 080 085 080     505 103 588 108	502		508 503 501 		505 505 0   505   508 	    0	301 502	569 			900	950
SPINE3				080   080 080 085 080     505 103 588 503	502		508 503 501 		505 505 0   105   508 	    0	301 502	569 			900	950
CLAVICLE_LEFT		080   070 080 075 070     505 103 588 108	502		508 503 501 		505 505 0   105   508 	    0	301 502	569 			900	950
UPPER_ARM_LEFT		080   070 080 075 070     505 103 505 505	502		508 503 502 		505 505 0   105   508 	    0	301 502	569 			900	950
LOWER_ARM_LEFT		080   060 080 065 060     505 505 505 505	505		508 505 502 		505 505 0   105   508 	    0	301 502	569 			900	950
HAND_LEFT			080   020 080 065 0       505 103 505 505	101		508 505 501 		505 105 0   505   508 	    0	301 502	505 			900	950
CLAVICLE_RIGHT		080   070 080 075 070     505 103 588 108	502		508 503 501 		505 505 0   105   508 	    0	301 502	569 			900	950
UPPER_ARM_RIGHT		080   070 080 075 070     505 103 505 503	502		508 503 505 		505 505 0   105   508 	    0	301 502	569 			900	950
LOWER_ARM_RIGHT		080   060 080 065 060     505 505 505 503	505		508 505 505 		505 505 0   105   508 	    0	301 502	569 			900	950
HAND_RIGHT			080   020  080 065 0     505 505 505 505	505		508 505 501 		505 105 0   105   508 	    0	301 502	505 			900	950
NECK				081   081 081 080 081     104 104 104 295	105		508 104 202 		104 104 0   104   508 	    0	301 502	104 			900	950
HEAD				081   581 581 580 581     566 577 566 295	566		508 577 577 		105 105 0   105   508 	    0	301 577	566 			900	950
ANIMAL_DEFAULT		080   080 080 085 080     505 505 505 295	505		508 505 505 		505 505 0   505   508 	    0	301 502	505 			900	950
																																				
BLOODFX_TABLE_ALIVE_END																															

BLOODFX_TABLE_DEAD_START

BUTTOCKS			580   580 580 585 580     505 505 505 795	505		508 505 505 		505 505 0   0   505			0	601 509	569 			900	950
THIGH_LEFT			580   570 580 575 570     505 505 505 795	505		508 504 504			504 504 0   0   504 	    0	601 509	569 			900	950
SHIN_LEFT			580   570 580 565 570     505 505 505 795	505		508 505 502 		505 505 0   0   505 	    0	601 509	569 			900	950
FOOT_LEFT			580   560 580 575 560     505 505 505 795	505		508 505 505 		505 505 0   0   505 	    0	601 509	569 			900	950
THIGH_RIGHT			580   570 580 575 570     505 505 505 795	505		508 504 504 		504 504 0   0   504 	    0	601 509	504 			900	950
SHIN_RIGHT			580   570 580 575 570     505 505 505 795	505		508 505 502 		505 505 0   0   505 	    0	601 509	569 			900	950
FOOT_RIGHT			580   560 580 565 560     505 505 505 795	505		508 505 505 		505 505 0   0   505 	    0	601 509	569 			900	950
SPINE0				580   580 580 565 580     505 103 588 795	502		508 505 501 		505 505 0   0   505 	    0	601 509	569 			900	950
SPINE1				580   580 580 585 580     505 103 588 795	502		508 505 501 		505 505 0   0   505 	    0	601 509	569 			900	950
SPINE2				580   580 580 565 580     505 103 588 795	502		508 505 501 		505 505 0   0   505 	    0	601 509	569 			900	950
SPINE3				580   580 580 575 580     505 103 588 795	502		508 505 501 		505 505 0   0   505 	    0	601 509	569 			900	950
CLAVICLE_LEFT		580   570 580 575 570     505 103 588 795	502		508 505 501 		505 505 0   0   505 	    0	601 509	569 			900	950
UPPER_ARM_LEFT		580   570 580 585 570     505 103 505 795	502		508 505 502 		505 505 0   0   505 	    0	601 509	569 			900	950
LOWER_ARM_LEFT		580   560 580 565 560     505 505 505 795	505		508 505 502 		505 505 0   0   505 	    0	601 509	569 			900	950
HAND_LEFT			580   020   580   575 0   505 505 505 795	501		508 505 501 		505 505 0   0   505 	    0	601 505	569 			900	950
CLAVICLE_RIGHT		580   570 580 565 570     505 103 588 795	502		508 505 501 		505 505 0   0   505 	    0	601 509	569 			900	950
UPPER_ARM_RIGHT		580   570 580 585 570     505 103 505 795	502		508 505 505 		505 505 0   0   505 	    0	601 509	569 			900	950
LOWER_ARM_RIGHT		580   560 580 575 560     505 505 501 795	505		508 505 505 		505 505 0   0   505 	    0	601 509	569 			900	950
